"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.79799529335013,0.393292642659385
1,"CS1","beta",0.513784683081707,0.0015934261424835
1,"CS1","lambda",2.08993204932714,0.354617360781621
1,"CS2","alpha",1.75982796937397,0.223538544913474
1,"CS2","beta",0.510694871524861,0.00139282374718364
1,"CS2","lambda",2.13041997190699,0.455986899102681
1,"CS3","alpha",1.85260171627245,0.239326143826084
1,"CS3","beta",0.51517701344075,0.001193672786584
1,"CS3","lambda",2.04939782927116,0.410952595018078
1,"CS4","alpha",1.72874934475114,0.167979710292086
1,"CS4","beta",0.509168389841167,0.00159054969736405
1,"CS4","lambda",2.0942467910778,0.361747279552819
1,"CS5","alpha",1.78307258842966,0.318198738506039
1,"CS5","beta",0.507682157795977,0.00134364037846935
1,"CS5","lambda",2.08529340812404,0.409691191455324
1,"CS6","alpha",1.82694922402573,0.247279153297963
1,"CS6","beta",0.510981761597247,0.00124740192869875
1,"CS6","lambda",2.01724539805636,0.403579426397627
1,"CS7","alpha",1.78363608820478,0.23610494746623
1,"CS7","beta",0.509397520661668,0.00133290584869415
1,"CS7","lambda",2.0610896396521,0.382028041618108
2,"CS1","alpha",2.89973550304962,1.0779806296666
2,"CS1","beta",1.23064023340448,0.00901767689888432
2,"CS1","lambda",3.27224797884177,1.26627977579155
2,"CS2","alpha",2.6088929867616,0.374109153986935
2,"CS2","beta",1.21138599487987,0.00461042908462168
2,"CS2","lambda",3.26545018308309,1.07894893411322
2,"CS3","alpha",2.62095641260652,0.351525309173607
2,"CS3","beta",1.20903837610693,0.00457361256069479
2,"CS3","lambda",3.16442482780546,0.690417605158394
2,"CS4","alpha",2.71890802564729,0.529651061416178
2,"CS4","beta",1.21023006533317,0.0046831557861674
2,"CS4","lambda",3.21119014144745,0.880779899323683
2,"CS5","alpha",2.70216107818857,0.44307048362601
2,"CS5","beta",1.21429028590459,0.00401798669232218
2,"CS5","lambda",3.21090576123,0.735930996368177
2,"CS6","alpha",2.77159308088894,0.745097303080439
2,"CS6","beta",1.2257475444926,0.00551935156058494
2,"CS6","lambda",3.26430173245782,0.921750343980107
2,"CS7","alpha",2.797645471522,0.550303934963654
2,"CS7","beta",1.21937544734793,0.00619954318780699
2,"CS7","lambda",3.06510937236365,1.00542869630016
