"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.75307761184766,0.235138506236413
1,"CS1","beta",0.505843110757452,0.00141972930466877
1,"CS1","lambda",2.12131648016359,0.526853477397499
1,"CS2","alpha",1.80829644079307,0.22477443256936
1,"CS2","beta",0.514919778855478,0.00155952001597962
1,"CS2","lambda",2.05380350253727,0.296115959305914
1,"CS3","alpha",1.72193528221727,0.178003146997974
1,"CS3","beta",0.509395970148403,0.00117598957065642
1,"CS3","lambda",2.16838195058342,0.399966615153135
1,"CS4","alpha",1.75099734799766,0.206186788868332
1,"CS4","beta",0.511985975179786,0.00115330739898216
1,"CS4","lambda",2.10452511990071,0.294898722156426
1,"CS5","alpha",1.72513639591389,0.148167907144867
1,"CS5","beta",0.511486425656128,0.00120217745588245
1,"CS5","lambda",2.1971348916862,0.350734586330162
1,"CS6","alpha",1.7906288778923,0.348095299452613
1,"CS6","beta",0.515752736076784,0.00169338251578212
1,"CS6","lambda",2.20548019755871,0.414889062811937
1,"CS7","alpha",1.79043345785897,0.227779674352394
1,"CS7","beta",0.511826622103842,0.00130325519835562
1,"CS7","lambda",2.12478990282889,0.538543394532212
2,"CS1","alpha",3.00432298816822,1.20516042222911
2,"CS1","beta",1.24096236337402,0.00960995417263741
2,"CS1","lambda",3.35990591130928,1.08991027786049
2,"CS2","alpha",2.75426046218392,0.468402619890471
2,"CS2","beta",1.22339558789809,0.0055636321620822
2,"CS2","lambda",3.22486862970728,1.27985759540618
2,"CS3","alpha",2.74405821900418,0.500526951238481
2,"CS3","beta",1.2180283630075,0.00622184005230981
2,"CS3","lambda",3.2523149979673,0.96809641169284
2,"CS4","alpha",2.81347094014795,0.676562485088136
2,"CS4","beta",1.22478158625375,0.00620533785541339
2,"CS4","lambda",3.15117068285127,1.13355239451704
2,"CS5","alpha",2.8716243581238,0.780248451855037
2,"CS5","beta",1.22971427135761,0.00746680643846336
2,"CS5","lambda",3.26720344667303,0.938839453692154
2,"CS6","alpha",2.85038284572697,0.999166938990656
2,"CS6","beta",1.22364482764931,0.00834839136002341
2,"CS6","lambda",3.13763195466165,1.01972305863729
2,"CS7","alpha",2.74156813509819,0.619133062436437
2,"CS7","beta",1.20848157657473,0.00534501441722078
2,"CS7","lambda",3.12134812907753,0.821145514507793
