"Setting","CS","Parameter","CP","AL"
1,"CS1","alpha",0.94,1.75437557943231
1,"CS1","beta",0.93,0.141235515169771
1,"CS1","lambda",0.96,2.19847916058594
1,"CS2","alpha",0.94,1.54121637287081
1,"CS2","beta",0.93,0.13299497816218
1,"CS2","lambda",0.95,2.23704696195909
1,"CS3","alpha",0.96,1.64435261964686
1,"CS3","beta",0.95,0.128551620333843
1,"CS3","lambda",0.91,2.13106388519438
1,"CS4","alpha",0.97,1.54042701871638
1,"CS4","beta",0.93,0.128275898734626
1,"CS4","lambda",0.92,2.16092047117566
1,"CS5","alpha",0.92,1.56372893401054
1,"CS5","beta",0.9,0.128526725398039
1,"CS5","lambda",0.94,2.15880412713739
1,"CS6","alpha",0.96,1.64650212247232
1,"CS6","beta",0.95,0.133771314938552
1,"CS6","lambda",0.88,2.0816507989851
1,"CS7","alpha",0.93,1.59397772052852
1,"CS7","beta",0.91,0.132825615257243
1,"CS7","lambda",0.96,2.15808891888529
2,"CS1","alpha",0.94,3.09749403161261
2,"CS1","beta",0.95,0.314758279619118
2,"CS1","lambda",0.98,3.72498125588946
2,"CS2","alpha",0.97,2.39568717948702
2,"CS2","beta",0.97,0.291123409148174
2,"CS2","lambda",0.95,3.60311217097768
2,"CS3","alpha",0.96,2.42241166138727
2,"CS3","beta",0.95,0.27834495610185
2,"CS3","lambda",0.95,3.4639943578627
2,"CS4","alpha",0.97,2.56918526278729
2,"CS4","beta",0.95,0.276699848769217
2,"CS4","lambda",0.97,3.52826351663537
2,"CS5","alpha",0.98,2.49704006529484
2,"CS5","beta",0.97,0.281363672553887
2,"CS5","lambda",0.93,3.51599353662907
2,"CS6","alpha",0.96,2.65332655161999
2,"CS6","beta",0.95,0.293879302746495
2,"CS6","lambda",0.95,3.60547832447419
2,"CS7","alpha",0.99,2.64885325971832
2,"CS7","beta",0.96,0.29068905174032
2,"CS7","lambda",0.94,3.36195310399802
