"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.75535590652597,0.0781077673375102
1,"CS1","beta",0.503546289218453,0.000551822785819284
1,"CS1","lambda",2.23241772131705,0.315076883299852
1,"CS2","alpha",1.68146597401378,0.144579439055196
1,"CS2","beta",0.510947409461098,0.00166888065462211
1,"CS2","lambda",2.15723037866337,0.378944707387505
1,"CS3","alpha",1.76339558966999,0.184176553836618
1,"CS3","beta",0.496203886251876,0.00117592945701365
1,"CS3","lambda",1.98577854217429,0.397353143375818
1,"CS4","alpha",1.87735130787089,0.342245119618094
1,"CS4","beta",0.521412185091427,0.0014904924237913
1,"CS4","lambda",2.15024035675315,0.321300268296541
1,"CS5","alpha",1.71798000088041,0.132308022984319
1,"CS5","beta",0.494322383235151,0.000687506212124318
1,"CS5","lambda",1.99303741276544,0.207811034684129
1,"CS6","alpha",1.88492963926169,0.232463945759463
1,"CS6","beta",0.507886714445112,0.000790800305950425
1,"CS6","lambda",2.09791413109266,0.179646433078524
1,"CS7","alpha",1.73718329078829,0.093625802778921
1,"CS7","beta",0.511294718326019,0.00075603322607492
1,"CS7","lambda",2.03244144751376,0.234587633111238
2,"CS1","alpha",2.83725602242665,0.396021873410354
2,"CS1","beta",1.21471739316261,0.00519432264619607
2,"CS1","lambda",2.77969755796704,0.348736926643414
2,"CS2","alpha",2.78789026604313,0.507841845715845
2,"CS2","beta",1.22362593724432,0.00906589829806356
2,"CS2","lambda",3.00442305552404,0.64332496302459
2,"CS3","alpha",2.72096127551501,0.431051944179622
2,"CS3","beta",1.21650936915398,0.00267013187309768
2,"CS3","lambda",3.15648605193205,0.370317974664902
2,"CS4","alpha",2.6305812192873,0.232704207201003
2,"CS4","beta",1.19705445870112,0.00277709377451161
2,"CS4","lambda",2.98596999533938,0.452244236298518
2,"CS5","alpha",2.53618482478234,0.228490566851181
2,"CS5","beta",1.18559937244986,0.00263187162056095
2,"CS5","lambda",2.99567003310873,0.395737676608669
2,"CS6","alpha",2.84199238602288,0.720905514718117
2,"CS6","beta",1.18810502446969,0.00482142609781762
2,"CS6","lambda",2.74117983625948,0.37730603172569
2,"CS7","alpha",2.56865333371696,0.585162797112383
2,"CS7","beta",1.20472607723881,0.00557220431034405
2,"CS7","lambda",3.17520433153929,0.582682315856034
