"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.62836442626499,0.0407754352907567
1,"CS1","beta",0.502523593570522,0.0005427870548328
1,"CS1","lambda",2.03113203593793,0.190428129475532
1,"CS2","alpha",1.58463604802453,0.112518428851674
1,"CS2","beta",0.509889743215526,0.00164234221620419
1,"CS2","lambda",1.96766658779718,0.262328428790319
1,"CS3","alpha",1.64244941466748,0.119557002610606
1,"CS3","beta",0.495227249031216,0.00118251523919904
1,"CS3","lambda",1.78061000568,0.26524172010618
1,"CS4","alpha",1.73200036556588,0.227101084854584
1,"CS4","beta",0.520391008538021,0.00144747389265699
1,"CS4","lambda",1.92792183971575,0.19811400704316
1,"CS5","alpha",1.60832408897676,0.0866487032878676
1,"CS5","beta",0.493360553371771,0.000696334791402813
1,"CS5","lambda",1.82198795390899,0.185137620946665
1,"CS6","alpha",1.74462318723462,0.132186567294322
1,"CS6","beta",0.50689225474391,0.000775379638704208
1,"CS6","lambda",1.87394595007766,0.112373417062412
1,"CS7","alpha",1.63354989216439,0.0625385767299557
1,"CS7","beta",0.510219011361104,0.00072962126733041
1,"CS7","lambda",1.85327367241583,0.179956203710051
2,"CS1","alpha",2.50280959357197,0.18467881536446
2,"CS1","beta",1.20958615011839,0.00501854900637821
2,"CS1","lambda",2.41493111951945,0.527691953147719
2,"CS2","alpha",2.50385616897063,0.260952232266522
2,"CS2","beta",1.21879460395386,0.00881233671627346
2,"CS2","lambda",2.69729047676952,0.563015393998391
2,"CS3","alpha",2.4334728662587,0.26159792582164
2,"CS3","beta",1.21186766275701,0.00257534226955312
2,"CS3","lambda",2.78037195564439,0.337162382600335
2,"CS4","alpha",2.37113272788182,0.157605862361718
2,"CS4","beta",1.19273197108035,0.00281881555505016
2,"CS4","lambda",2.64299052293776,0.497002983193277
2,"CS5","alpha",2.32327512714876,0.219322642578773
2,"CS5","beta",1.18143116702122,0.00276326402967702
2,"CS5","lambda",2.68787376380832,0.402407592936013
2,"CS6","alpha",2.5437680647536,0.379447232778729
2,"CS6","beta",1.1836711755026,0.00495030663021286
2,"CS6","lambda",2.43983057952365,0.538282983533632
2,"CS7","alpha",2.31339680636106,0.429706801306603
2,"CS7","beta",1.19959939532764,0.00553779708155784
2,"CS7","lambda",2.73677965720664,0.514459811790978
