"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.83531309921209,0.303976976551522
1,"CS1","beta",0.51384676801271,0.00141729657372444
1,"CS1","lambda",2.04045960830011,0.257682379505368
1,"CS2","alpha",1.77964270790824,0.194559980470613
1,"CS2","beta",0.510306600878555,0.00129410043310952
1,"CS2","lambda",2.08098209975887,0.277399935998632
1,"CS3","alpha",1.87822391799792,0.219400295291408
1,"CS3","beta",0.514927156873954,0.00111848315714943
1,"CS3","lambda",2.01685542574887,0.329038803067734
1,"CS4","alpha",1.75795923967442,0.172241131374945
1,"CS4","beta",0.509961838222173,0.00145707412276427
1,"CS4","lambda",2.08706190085545,0.288484234523988
1,"CS5","alpha",1.77902227987952,0.251212579262858
1,"CS5","beta",0.507477425105123,0.00118731192960112
1,"CS5","lambda",2.08363279041821,0.270540558029324
1,"CS6","alpha",1.82476878736035,0.196893489919979
1,"CS6","beta",0.510766604718058,0.00111209796993258
1,"CS6","lambda",2.01824857155547,0.213722957546374
1,"CS7","alpha",1.80127030444906,0.208831925482596
1,"CS7","beta",0.509357902919749,0.00117879381147342
1,"CS7","lambda",2.03700317581468,0.251358353624793
2,"CS1","alpha",2.75099603307653,0.604277572577316
2,"CS1","beta",1.19780480429983,0.00597007755710531
2,"CS1","lambda",2.85648544217883,0.562256190009554
2,"CS2","alpha",2.59939620434618,0.336558135550169
2,"CS2","beta",1.18886250424648,0.00428438438102593
2,"CS2","lambda",2.87013547082445,0.385232142185898
2,"CS3","alpha",2.59878601734062,0.281067101074851
2,"CS3","beta",1.18715787454767,0.00426111242829898
2,"CS3","lambda",2.83118410218379,0.442827581425341
2,"CS4","alpha",2.64640505509034,0.326984074919269
2,"CS4","beta",1.18404555224335,0.00404676612588277
2,"CS4","lambda",2.80984133208156,0.429278091412558
2,"CS5","alpha",2.6421414752466,0.298195373709168
2,"CS5","beta",1.1915976064778,0.00343204030303153
2,"CS5","lambda",2.88379839820026,0.375481740840364
2,"CS6","alpha",2.68796080088943,0.493783328608117
2,"CS6","beta",1.19720489903841,0.00398735498233571
2,"CS6","lambda",2.86584915413342,0.425665506388973
2,"CS7","alpha",2.75435019407348,0.415149773688153
2,"CS7","beta",1.1974768593452,0.00452519037729728
2,"CS7","lambda",2.7441689915741,0.543562813605588
