"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.96085370914965,0.395817381479586
1,"CS1","beta",0.508073165988931,0.00129249528322716
1,"CS1","lambda",2.39900425997876,0.715496730741176
1,"CS2","alpha",1.97560193680542,0.336445026716471
1,"CS2","beta",0.517147464706481,0.00147827327749004
1,"CS2","lambda",2.35937214461038,0.508251496044585
1,"CS3","alpha",1.88109703655471,0.279703656522707
1,"CS3","beta",0.510381009618076,0.00107628883594022
1,"CS3","lambda",2.41135168842331,0.565877240604886
1,"CS4","alpha",1.93262191884541,0.307406123157006
1,"CS4","beta",0.514136738860857,0.00111374938098823
1,"CS4","lambda",2.42653453382714,0.683597137071551
1,"CS5","alpha",1.89165397329001,0.252461869019165
1,"CS5","beta",0.512966327256711,0.00117817430383559
1,"CS5","lambda",2.50875069279223,0.70479778730302
1,"CS6","alpha",1.97251670760088,0.494200223024256
1,"CS6","beta",0.517157549119588,0.00173296136033772
1,"CS6","lambda",2.48716669600784,0.666425557256945
1,"CS7","alpha",1.94606505919388,0.333926471480763
1,"CS7","beta",0.513113063179739,0.00122664390725893
1,"CS7","lambda",2.42950549489416,0.759593145054161
2,"CS1","alpha",3.27768961093673,1.73184622535816
2,"CS1","beta",1.21694192299975,0.00651838740072232
2,"CS1","lambda",3.6145338379471,1.45397781922257
2,"CS2","alpha",3.00948508384014,0.85865492060229
2,"CS2","beta",1.21004724277097,0.0044498502701415
2,"CS2","lambda",3.54901415551927,1.38965664855402
2,"CS3","alpha",2.98411181670812,0.738043796875087
2,"CS3","beta",1.20356621094331,0.00495910586861067
2,"CS3","lambda",3.52426549756986,1.08677088581525
2,"CS4","alpha",3.04798050049666,0.950489243832231
2,"CS4","beta",1.20892733657457,0.00465850868121977
2,"CS4","lambda",3.40339531904561,1.03571113452446
2,"CS5","alpha",3.10788517078113,0.909914566836342
2,"CS5","beta",1.21431704483256,0.00549341134811241
2,"CS5","lambda",3.5666796981495,1.21565231792039
2,"CS6","alpha",3.14528527643581,1.36770306525203
2,"CS6","beta",1.2062575771298,0.00641861922892108
2,"CS6","lambda",3.27542202027263,0.686041541310936
2,"CS7","alpha",2.96020337360282,0.697809768051308
2,"CS7","beta",1.19046598391557,0.00451502728861832
2,"CS7","lambda",3.37775277237396,0.850582027356127
