"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",2.04259418116205,0.653902100841122
1,"CS1","beta",0.515013858407357,0.00145641955372294
1,"CS1","lambda",2.18857522972224,0.347397592077671
1,"CS2","alpha",1.92009639697975,0.321224929169666
1,"CS2","beta",0.51136114979209,0.00131994219122864
1,"CS2","lambda",2.24487272710618,0.398908232701863
1,"CS3","alpha",2.04373561494767,0.406898698226113
1,"CS3","beta",0.51590396480664,0.00115330185118057
1,"CS3","lambda",2.17887152198377,0.437438038219929
1,"CS4","alpha",1.91596683831369,0.325823503564338
1,"CS4","beta",0.51094181333837,0.00148273736421422
1,"CS4","lambda",2.24751541427668,0.422508520201791
1,"CS5","alpha",1.92786035447043,0.425823249942213
1,"CS5","beta",0.508481174551526,0.00120780777930606
1,"CS5","lambda",2.26368375402327,0.416574515806951
1,"CS6","alpha",1.98408054017965,0.353293003122087
1,"CS6","beta",0.511832346104756,0.00114174722202554
1,"CS6","lambda",2.17763682654179,0.30386836099558
1,"CS7","alpha",1.95792147323689,0.38356002271698
1,"CS7","beta",0.510406415497981,0.00120382823598601
1,"CS7","lambda",2.18771334535058,0.334366692641227
2,"CS1","alpha",3.16172716579045,1.33580680428701
2,"CS1","beta",1.20261535939521,0.00599250296286147
2,"CS1","lambda",3.11692251518352,0.736586212008886
2,"CS2","alpha",2.91996489812429,0.676054979055376
2,"CS2","beta",1.19333920232532,0.00423964458706592
2,"CS2","lambda",3.09748382318265,0.47992077228218
2,"CS3","alpha",2.92813797009994,0.630547675050039
2,"CS3","beta",1.19136659227208,0.00417702676240258
2,"CS3","lambda",3.0619726140388,0.513514784214328
2,"CS4","alpha",2.98044864534468,0.777550752814652
2,"CS4","beta",1.18803236772814,0.00395511134249662
2,"CS4","lambda",3.03461275946313,0.523101441226018
2,"CS5","alpha",2.95702265357812,0.674924466944473
2,"CS5","beta",1.19582031408467,0.00341040110542665
2,"CS5","lambda",3.11022257618992,0.459377704060763
2,"CS6","alpha",3.05073044876424,1.07642011127887
2,"CS6","beta",1.20171292226284,0.0040056707739567
2,"CS6","lambda",3.10402241104631,0.51916071506764
2,"CS7","alpha",3.08583195195548,0.878113638450061
2,"CS7","beta",1.20189820915742,0.00454561741468539
2,"CS7","lambda",3.0037650341659,0.64278093467654
