"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.69671615905272,0.154374470798126
1,"CS1","beta",0.501784130101815,0.00122177807272619
1,"CS1","lambda",2.15352902508603,0.368042488466496
1,"CS2","alpha",1.76450960403016,0.155689800773445
1,"CS2","beta",0.512126189815146,0.0013062809779312
1,"CS2","lambda",2.0856821500802,0.193617313258531
1,"CS3","alpha",1.67976755330254,0.138489671968771
1,"CS3","beta",0.507311845837096,0.00110447595763345
1,"CS3","lambda",2.24388896187039,0.417401481148025
1,"CS4","alpha",1.70467643360622,0.141967077796527
1,"CS4","beta",0.508934438869605,0.00099851422148501
1,"CS4","lambda",2.15560801679265,0.270148824089304
1,"CS5","alpha",1.6849543965054,0.108340361589993
1,"CS5","beta",0.508855582020588,0.00105505029577252
1,"CS5","lambda",2.25817039356955,0.348073820059529
1,"CS6","alpha",1.73083594751652,0.251946408364932
1,"CS6","beta",0.511702437597121,0.00149432324966935
1,"CS6","lambda",2.2449911909656,0.342273339043774
1,"CS7","alpha",1.73937922508206,0.175829096740785
1,"CS7","beta",0.508414358465702,0.00109682567885883
1,"CS7","lambda",2.16351410554729,0.375596277302182
2,"CS1","alpha",2.72644544325721,0.571424315702047
2,"CS1","beta",1.2025333379415,0.0053999702337014
2,"CS1","lambda",3.06164913387834,0.479066628323485
2,"CS2","alpha",2.61539584851558,0.303053672003124
2,"CS2","beta",1.19809076354178,0.00478794404076203
2,"CS2","lambda",3.03034293999846,0.643900980159176
2,"CS3","alpha",2.58743310096461,0.277967768722313
2,"CS3","beta",1.19150120290317,0.00457829167402518
2,"CS3","lambda",3.04403400685446,0.544126618493474
2,"CS4","alpha",2.59841850475919,0.29332026942113
2,"CS4","beta",1.19558231665379,0.00441631840465076
2,"CS4","lambda",2.94636796066491,0.525795899998839
2,"CS5","alpha",2.684679876825,0.451962763032712
2,"CS5","beta",1.20329820094519,0.00505667239627228
2,"CS5","lambda",3.10853856343488,0.567908896421638
2,"CS6","alpha",2.59930014070203,0.454613799874164
2,"CS6","beta",1.19166154172073,0.00606106986335732
2,"CS6","lambda",2.95252093526325,0.388685236495543
2,"CS7","alpha",2.52684358247602,0.310056717943904
2,"CS7","beta",1.18161616174163,0.00481925297646521
2,"CS7","lambda",3.06184740131988,0.762199870632069
