"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.74691899678932,0.237416370392918
1,"CS1","beta",0.511024366249481,0.00152537885864326
1,"CS1","lambda",2.14151084720737,0.35097855290725
1,"CS2","alpha",1.72108710061519,0.160358745233179
1,"CS2","beta",0.507008824543734,0.00123362893498022
1,"CS2","lambda",2.10917010775774,0.273395365415847
1,"CS3","alpha",1.81251478208279,0.175617042543577
1,"CS3","beta",0.512511189708678,0.00104221458395815
1,"CS3","lambda",2.08133587374324,0.342053464598778
1,"CS4","alpha",1.68095136873723,0.117432455248427
1,"CS4","beta",0.505280046530951,0.00128955958069646
1,"CS4","lambda",2.11081884500926,0.298075052290274
1,"CS5","alpha",1.72925881446144,0.224953583969903
1,"CS5","beta",0.504876516443287,0.00114952069492159
1,"CS5","lambda",2.11998798055816,0.315905734975361
1,"CS6","alpha",1.76614269072859,0.144273560530237
1,"CS6","beta",0.505683057161499,0.00105545881927682
1,"CS6","lambda",1.99367633744544,0.243740649680577
1,"CS7","alpha",1.72678798840881,0.16834289023004
1,"CS7","beta",0.506524499479189,0.00110584313178869
1,"CS7","lambda",2.12281848659456,0.334772583805815
2,"CS1","alpha",2.64936315253898,0.580340540681365
2,"CS1","beta",1.18666515086096,0.00597892539601766
2,"CS1","lambda",2.80471616284174,0.424722269001784
2,"CS2","alpha",2.50195727147659,0.230791848995668
2,"CS2","beta",1.17807352765463,0.00396747852465214
2,"CS2","lambda",2.82505323909246,0.336444737930793
2,"CS3","alpha",2.52533357517544,0.28495735489997
2,"CS3","beta",1.18094910431109,0.0044964743243565
2,"CS3","lambda",2.84240949687249,0.382562306559752
2,"CS4","alpha",2.56801395258223,0.316854009073967
2,"CS4","beta",1.17753244883651,0.00399830170740948
2,"CS4","lambda",2.85105028539929,0.364604779558352
2,"CS5","alpha",2.5686418811964,0.278414758626804
2,"CS5","beta",1.18448821305157,0.00342345701191143
2,"CS5","lambda",2.92018438244556,0.440854085961702
2,"CS6","alpha",2.58600752603976,0.363801634285421
2,"CS6","beta",1.19007817252307,0.00400267552626442
2,"CS6","lambda",2.91760633443742,0.431906944294861
2,"CS7","alpha",2.6370083094827,0.316438223921652
2,"CS7","beta",1.1874119620906,0.00504310711674653
2,"CS7","lambda",2.77060741969586,0.555423545622371
