"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.60430016779427,0.145538114567218
1,"CS1","beta",0.509891294674271,0.00149727264677873
1,"CS1","lambda",1.98721257334331,0.253213708023363
1,"CS2","alpha",1.61001694081221,0.108878590672806
1,"CS2","beta",0.505951560796244,0.00121699483413859
1,"CS2","lambda",1.94213664208291,0.190816652381704
1,"CS3","alpha",1.68515527518327,0.108074971702208
1,"CS3","beta",0.511509421685313,0.0010163306612498
1,"CS3","lambda",1.93106231633248,0.274355629850303
1,"CS4","alpha",1.56871362104747,0.0862768814671155
1,"CS4","beta",0.504292851397038,0.00127615665875542
1,"CS4","lambda",1.95710398053631,0.236327259819857
1,"CS5","alpha",1.6091665833829,0.14765964859703
1,"CS5","beta",0.503873117067171,0.00113500019208155
1,"CS5","lambda",1.9659777427321,0.239106300177927
1,"CS6","alpha",1.64045363952189,0.084722383251442
1,"CS6","beta",0.504575189086512,0.00103777395954969
1,"CS6","lambda",1.84997498781866,0.19849790039916
1,"CS7","alpha",1.60567984263928,0.108817557566452
1,"CS7","beta",0.50544831560433,0.00108821050469252
1,"CS7","lambda",1.95694836405529,0.266130152359985
2,"CS1","alpha",2.35045204992566,0.380520745480132
2,"CS1","beta",1.18209873501012,0.00610512028766284
2,"CS1","lambda",2.60151284790408,0.502946970236606
2,"CS2","alpha",2.2711372550419,0.204436124454362
2,"CS2","beta",1.17354502376346,0.00416665906049097
2,"CS2","lambda",2.61130955552177,0.423884699399159
2,"CS3","alpha",2.28725157698834,0.231137727772351
2,"CS3","beta",1.17677378560688,0.00465517401857986
2,"CS3","lambda",2.63079293389101,0.43947577284483
2,"CS4","alpha",2.30755245747909,0.228953412907427
2,"CS4","beta",1.17321486226887,0.00417478642902273
2,"CS4","lambda",2.58600035071253,0.447865992674052
2,"CS5","alpha",2.32000214906508,0.20609492729604
2,"CS5","beta",1.18018104314386,0.00354008463161484
2,"CS5","lambda",2.66700546537683,0.440105157045357
2,"CS6","alpha",2.31623964284955,0.261576702958164
2,"CS6","beta",1.18523294390342,0.00411282706945251
2,"CS6","lambda",2.67641554856704,0.490787944534592
2,"CS7","alpha",2.36998126788535,0.210569493368061
2,"CS7","beta",1.182784749715,0.00515188424263475
2,"CS7","lambda",2.54843672004886,0.590799496220148
