"Setting","CS","Parameter","AE","MSE"
1,"CS1","alpha",1.9326790801914,0.455821694161668
1,"CS1","beta",0.51215441138501,0.00155590471080516
1,"CS1","lambda",2.2995600218344,0.503686145269648
1,"CS2","alpha",1.85437120004367,0.262804685780149
1,"CS2","beta",0.508063900634609,0.00125246479151259
1,"CS2","lambda",2.28452728574832,0.431689886845333
1,"CS3","alpha",1.97283742190412,0.31833731649711
1,"CS3","beta",0.51351216122964,0.00107013273519544
1,"CS3","lambda",2.24703284112328,0.481285569386282
1,"CS4","alpha",1.81632723408235,0.19710126091908
1,"CS4","beta",0.506265524100342,0.00130483228897875
1,"CS4","lambda",2.28036793126962,0.433816948698518
1,"CS5","alpha",1.88028035285217,0.389796006682053
1,"CS5","beta",0.505878788808012,0.00116611263820081
1,"CS5","lambda",2.29260111513737,0.47553443562897
1,"CS6","alpha",1.92514532683971,0.2810000213707
1,"CS6","beta",0.506787941375236,0.00107554802092425
1,"CS6","lambda",2.15469676433193,0.366542767767343
1,"CS7","alpha",1.88010450375785,0.320641365949969
1,"CS7","beta",0.507597854790489,0.00112579173122147
1,"CS7","lambda",2.29998963056673,0.471322667827951
2,"CS1","alpha",3.05051292497547,1.35072974238172
2,"CS1","beta",1.19119731590677,0.00589691084213664
2,"CS1","lambda",3.02199718166284,0.457050005574361
2,"CS2","alpha",2.78138577193798,0.422924162900798
2,"CS2","beta",1.18257873711449,0.00381033790240696
2,"CS2","lambda",3.0569611419718,0.363909656049115
2,"CS3","alpha",2.82534198216025,0.55502373038602
2,"CS3","beta",1.18510124323812,0.00437414290424945
2,"CS3","lambda",3.06366367921026,0.445869791775728
2,"CS4","alpha",2.90639245497242,0.719418082796486
2,"CS4","beta",1.1818136974193,0.00386060312044042
2,"CS4","lambda",3.11016561221778,0.443905691594553
2,"CS5","alpha",2.89558653769774,0.648534604525593
2,"CS5","beta",1.18877605585244,0.00334634460375862
2,"CS5","lambda",3.1738403318158,0.57142904842253
2,"CS6","alpha",2.93905010828392,0.843647019644875
2,"CS6","beta",1.19489070408783,0.00394684147311776
2,"CS6","lambda",3.1800669304791,0.539023107670889
2,"CS7","alpha",2.98666396870285,0.724980278227492
2,"CS7","beta",1.1920137879363,0.00497339011227205
2,"CS7","lambda",3.00819306064632,0.654805532938477
